name,inst,total,auths
powerwindow,51,51,33172
lift,16,16,6012
ammunition,74,74,1784074
rijndael_dec,13,13,4166
ndes,8,8,989
gsm_enc,36,36,2875
gsm_dec,24,24,2025
fmref,19,19,4819
h264_dec,5,5,5
rijndael_enc,14,14,5955
audiobeam,36,36,2399
epic,9,9,577
huff_dec,11,11,4073
anagram,26,26,107029
dijkstra,8,8,44969
g723_enc,18,18,7685
huff_enc,18,18,11993
cjpeg_transupp,11,11,670
adpcm_enc,19,19,5747
cjpeg_wrbmp,8,8,6153
petrinet,4,4,3
susan,41,41,2203
adpcm_dec,17,17,5741
statemate,10,10,406
mpeg2,17,17,284571
cover,7,7,7
test3,127,127,713627
duff,6,6,6
filterbank,5,5,6
lms,6,6,406
minver,7,7,15
md5,18,18,53563
countnegative,8,8,407
bitcount,15,15,194
quicksort,24,24,34529
matrix1,5,5,5
isqrt,17,17,2006
deg2rad,4,4,4
bsort,6,6,6
st,13,13,6080
fir2dim,5,5,6
pm,17,17,12919
sha,13,13,2067
binarysearch,7,7,36
fac,5,5,25
ludcmp,6,6,10
iir,4,4,4
jfdctint,5,5,5
complex_updates,5,5,5
rad2deg,4,4,4
insertsort,5,5,5
recursion,5,5,181
prime,10,10,30
fft,10,10,3079
cosf,15,15,372
bitonic,7,7,468
cubic,16,16,5372
