name,inst,total,auths
powerwindow,0,51,0
lift,0,16,0
ammunition,9,74,116123
rijndael_dec,1,13,1
ndes,1,8,1
gsm_enc,0,36,0
gsm_dec,0,24,0
fmref,0,19,0
h264_dec,0,5,0
rijndael_enc,1,14,1
audiobeam,0,36,0
epic,0,9,0
huff_dec,0,11,0
anagram,1,26,6663
dijkstra,0,8,0
g723_enc,0,18,0
huff_enc,3,18,79
cjpeg_transupp,0,11,0
adpcm_enc,0,19,0
cjpeg_wrbmp,0,8,0
petrinet,0,4,0
susan,2,41,12
adpcm_dec,0,17,0
statemate,0,10,0
mpeg2,0,17,0
cover,0,7,0
test3,0,127,0
duff,0,6,0
filterbank,0,5,0
lms,0,6,0
minver,0,7,0
md5,3,18,5633
countnegative,0,8,0
bitcount,2,15,2
quicksort,0,24,0
matrix1,0,5,0
isqrt,0,17,0
deg2rad,0,4,0
bsort,0,6,0
st,0,13,0
fir2dim,0,5,0
pm,0,17,0
sha,1,13,1
binarysearch,0,7,0
fac,0,5,0
ludcmp,0,6,0
iir,0,4,0
jfdctint,0,5,0
complex_updates,0,5,0
rad2deg,0,4,0
insertsort,0,5,0
recursion,0,5,0
prime,0,10,0
fft,0,10,0
cosf,0,15,0
bitonic,0,7,0
cubic,0,16,0
