name,inst,total,auths
powerwindow,0,51,0
lift,0,16,0
ammunition,9,74,116123
rijndael_dec,3,13,2049
ndes,3,8,18
gsm_enc,7,36,260
gsm_dec,4,24,140
fmref,4,19,1539
h264_dec,0,5,0
rijndael_enc,4,14,1965
audiobeam,3,36,17
epic,0,9,0
huff_dec,1,11,1
anagram,2,26,6755
dijkstra,0,8,0
g723_enc,0,18,0
huff_enc,5,18,81
cjpeg_transupp,0,11,0
adpcm_enc,0,19,0
cjpeg_wrbmp,1,8,1
petrinet,0,4,0
susan,7,41,16
adpcm_dec,0,17,0
statemate,0,10,0
mpeg2,1,17,352
cover,0,7,0
test3,0,127,0
duff,0,6,0
filterbank,2,5,3
lms,1,6,1
minver,1,7,1
md5,4,18,8449
countnegative,0,8,0
bitcount,2,15,2
quicksort,2,24,0
matrix1,0,5,0
isqrt,1,17,0
deg2rad,0,4,0
bsort,0,6,0
st,0,13,0
fir2dim,0,5,0
pm,0,17,0
sha,3,13,1025
binarysearch,0,7,0
fac,0,5,0
ludcmp,1,6,1
iir,0,4,0
jfdctint,0,5,0
complex_updates,0,5,0
rad2deg,0,4,0
insertsort,1,5,1
recursion,0,5,0
prime,0,10,0
fft,0,10,0
cosf,1,15,100
bitonic,0,7,0
cubic,1,16,258
