name,inst,total,auths
powerwindow,31,51,11762
lift,7,16,2006
ammunition,45,74,368824
rijndael_dec,4,13,4
ndes,4,8,19
gsm_enc,15,36,603
gsm_dec,9,24,303
fmref,13,19,2670
h264_dec,2,5,2
rijndael_enc,4,14,4
audiobeam,19,36,795
epic,5,9,31
huff_dec,5,11,2990
anagram,17,26,38557
dijkstra,3,8,22
g723_enc,9,18,3331
huff_enc,10,18,1805
cjpeg_transupp,3,11,3
adpcm_enc,7,19,13
cjpeg_wrbmp,5,8,6
petrinet,1,4,1
susan,22,41,75
adpcm_dec,6,17,11
statemate,4,10,4
mpeg2,10,17,4579
cover,2,7,2
test3,123,127,520678
duff,3,6,3
filterbank,2,5,2
lms,3,6,3
minver,3,7,3
md5,9,18,19747
countnegative,4,8,4
bitcount,7,15,125
quicksort,14,24,10935
matrix1,2,5,2
isqrt,8,17,1003
deg2rad,1,4,1
bsort,3,6,3
st,7,13,12
fir2dim,2,5,2
pm,5,17,5
sha,6,13,523
binarysearch,3,7,3
fac,3,5,23
ludcmp,3,6,3
iir,1,4,1
jfdctint,2,5,2
complex_updates,2,5,2
rad2deg,1,4,1
insertsort,2,5,2
recursion,3,5,179
prime,5,10,7
fft,6,10,1029
cosf,7,15,194
bitonic,4,7,226
cubic,8,16,2195
