4         Threads
50        Connections per thread
320000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        10714.50          ---          ---         1.71268         1.03900         5.53500        77.82300       731.25 
Gets       107144.66       165.94    106978.72         1.71136         1.03900         5.56700        77.82300      2718.83 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     117859.17       165.94    106978.72         1.71148         1.03900         5.56700        77.82300      3450.08 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.079        0.000
SET       0.943        5.000
SET       0.983       10.000
SET       0.999       15.000
SET       1.007       20.000
SET       1.015       25.000
SET       1.023       30.000
SET       1.031       35.000
SET       1.031       40.000
SET       1.039       45.000
SET       1.039       50.000
SET       1.047       52.500
SET       1.047       55.000
SET       1.047       57.500
SET       1.055       60.000
SET       1.055       62.500
SET       1.055       65.000
SET       1.063       67.500
SET       1.063       70.000
SET       1.071       72.500
SET       1.071       75.000
SET       1.079       76.250
SET       1.079       77.500
SET       1.087       78.750
SET       1.087       80.000
SET       1.095       81.250
SET       1.103       82.500
SET       1.127       83.750
SET       1.159       85.000
SET       1.231       86.250
SET       1.535       87.500
SET       1.839       88.125
SET       1.935       88.750
SET       1.975       89.375
SET       1.999       90.000
SET       2.015       90.625
SET       2.023       91.250
SET       2.039       91.875
SET       2.047       92.500
SET       2.063       93.125
SET       2.063       93.750
SET       2.079       94.062
SET       2.079       94.375
SET       2.079       94.688
SET       2.079       95.000
SET       2.095       95.312
SET       2.095       95.625
SET       2.095       95.938
SET       2.111       96.250
SET       2.111       96.562
SET       2.127       96.875
SET       2.127       97.031
SET       2.127       97.188
SET       2.127       97.344
SET       2.143       97.500
SET       2.143       97.656
SET       2.159       97.812
SET       2.159       97.969
SET       2.175       98.125
SET       2.191       98.281
SET       2.239       98.438
SET       2.271       98.516
SET       2.319       98.594
SET       2.463       98.672
SET       2.799       98.750
SET       3.407       98.828
SET       4.383       98.906
SET       5.439       98.984
SET       6.303       99.062
SET      12.927       99.141
SET      35.839       99.219
SET      48.383       99.258
SET      57.343       99.297
SET      61.951       99.336
SET      64.255       99.375
SET      66.047       99.414
SET      67.071       99.453
SET      68.095       99.492
SET      69.119       99.531
SET      70.143       99.570
SET      70.655       99.609
SET      71.167       99.629
SET      71.679       99.648
SET      71.679       99.668
SET      72.191       99.688
SET      72.703       99.707
SET      73.215       99.727
SET      73.215       99.746
SET      73.727       99.766
SET      74.239       99.785
SET      74.751       99.805
SET      74.751       99.814
SET      75.263       99.824
SET      75.263       99.834
SET      75.775       99.844
SET      76.287       99.854
SET      76.287       99.863
SET      76.799       99.873
SET      77.311       99.883
SET      77.823       99.893
SET      78.335       99.902
SET      78.335       99.907
SET      78.847       99.912
SET      78.847       99.917
SET      79.359       99.922
SET      79.871       99.927
SET      79.871       99.932
SET      80.383       99.937
SET      81.407       99.941
SET      81.919       99.946
SET      82.431       99.951
SET      82.943       99.954
SET      82.943       99.956
SET      83.455       99.958
SET      83.967       99.961
SET      84.479       99.963
SET      84.991       99.966
SET      85.503       99.968
SET      86.015       99.971
SET      87.039       99.973
SET      87.551       99.976
SET      88.063       99.977
SET      88.575       99.978
SET      89.087       99.979
SET      89.599       99.980
SET      90.111       99.982
SET      90.623       99.983
SET      91.135       99.984
SET      92.159       99.985
SET      92.671       99.987
SET      94.207       99.988
SET      94.719       99.988
SET      95.231       99.989
SET      96.255       99.990
SET      97.279       99.990
SET      98.815       99.991
SET     100.351       99.991
SET     102.399       99.992
SET     104.959       99.993
SET     107.519       99.993
SET     112.127       99.994
