4         Threads
50        Connections per thread
320000    Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        10083.95          ---          ---         1.84420         1.18300        31.10300        39.67900       688.22 
Gets       100839.11       162.05    100677.06         1.83778         1.17500        30.97500        39.67900      2559.18 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     110923.06       162.05    100677.06         1.83836         1.17500        30.97500        39.67900      3247.40 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.079        0.000
SET       1.031        5.000
SET       1.103       10.000
SET       1.127       15.000
SET       1.143       20.000
SET       1.151       25.000
SET       1.159       30.000
SET       1.167       35.000
SET       1.167       40.000
SET       1.175       45.000
SET       1.183       50.000
SET       1.183       52.500
SET       1.191       55.000
SET       1.191       57.500
SET       1.191       60.000
SET       1.199       62.500
SET       1.199       65.000
SET       1.207       67.500
SET       1.207       70.000
SET       1.215       72.500
SET       1.223       75.000
SET       1.223       76.250
SET       1.231       77.500
SET       1.231       78.750
SET       1.239       80.000
SET       1.247       81.250
SET       1.263       82.500
SET       1.279       83.750
SET       1.303       85.000
SET       1.335       86.250
SET       1.383       87.500
SET       1.447       88.125
SET       1.615       88.750
SET       1.879       89.375
SET       2.111       90.000
SET       2.207       90.625
SET       2.255       91.250
SET       2.287       91.875
SET       2.303       92.500
SET       2.319       93.125
SET       2.335       93.750
SET       2.351       94.062
SET       2.351       94.375
SET       2.367       94.688
SET       2.367       95.000
SET       2.383       95.312
SET       2.383       95.625
SET       2.399       95.938
SET       2.399       96.250
SET       2.431       96.562
SET       2.447       96.875
SET       2.479       97.031
SET       2.527       97.188
SET       2.607       97.344
SET       2.847       97.500
SET       3.535       97.656
SET       4.863       97.812
SET       7.391       97.969
SET      13.759       98.125
SET      22.399       98.281
SET      27.007       98.438
SET      28.159       98.516
SET      28.927       98.594
SET      29.439       98.672
SET      29.823       98.750
SET      30.335       98.828
SET      30.591       98.906
SET      30.975       98.984
SET      31.359       99.062
SET      31.615       99.141
SET      31.999       99.219
SET      32.127       99.258
SET      32.383       99.297
SET      32.511       99.336
SET      32.767       99.375
SET      33.023       99.414
SET      33.279       99.453
SET      33.279       99.492
SET      33.535       99.531
SET      33.791       99.570
SET      34.303       99.609
SET      34.303       99.629
SET      34.559       99.648
SET      34.815       99.668
SET      35.071       99.688
SET      35.071       99.707
SET      35.327       99.727
SET      35.583       99.746
SET      36.095       99.766
SET      36.351       99.785
SET      36.607       99.805
SET      36.863       99.814
SET      37.119       99.824
SET      37.375       99.834
SET      37.631       99.844
SET      37.887       99.854
SET      38.143       99.863
SET      38.399       99.873
SET      38.655       99.883
SET      39.167       99.893
SET      39.935       99.902
SET      40.191       99.907
SET      40.447       99.912
SET      40.703       99.917
SET      41.215       99.922
SET      41.471       99.927
SET      41.727       99.932
SET      41.983       99.937
SET      42.239       99.941
SET      42.495       99.946
SET      43.007       99.951
SET      43.007       99.954
SET      43.263       99.956
SET      43.519       99.958
SET      43.775       99.961
SET      44.031       99.963
SET      44.287       99.966
SET      44.543       99.968
SET      44.799       99.971
SET      45.311       99.973
SET      45.567       99.976
SET      45.823       99.977
SET      46.079       99.978
SET      46.335       99.979
SET      46.591       99.980
SET      47.103       99.982
SET      47.359       99.983
SET      47.615       99.984
SET      48.127       99.985
SET      48.639       99.987
SET      49.407       99.988
SET      49.919       99.988
SET      50.687       99.989
SET      51.199       99.990
SET      51.711       99.990
SET      52.735       99.991
SET      53.247       99.991
SET      54.015       99.992
SET      54.783       99.993
SET      55.807       99.993
SET      56.575       99.994
