12        Threads
50        Connections per thread
50        Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        36184.14          ---          ---         1.54457         1.51900         2.44700         2.99100         5.18300      2469.41 
Gets       361780.33        42.48    361737.86         1.50318         1.48700         1.94300         2.78300         4.63900      9148.72 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     397964.48        42.48    361737.86         1.50694         1.48700         1.98300         2.81500         4.70300     11618.12 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.143        0.000
SET       1.303        5.000
SET       1.327       10.000
SET       1.351       15.000
SET       1.375       20.000
SET       1.399       25.000
SET       1.423       30.000
SET       1.455       35.000
SET       1.479       40.000
SET       1.503       45.000
SET       1.519       50.000
SET       1.535       52.500
SET       1.543       55.000
SET       1.559       57.500
SET       1.567       60.000
SET       1.575       62.500
SET       1.591       65.000
SET       1.599       67.500
SET       1.615       70.000
SET       1.623       72.500
SET       1.639       75.000
SET       1.647       76.250
SET       1.655       77.500
SET       1.663       78.750
SET       1.671       80.000
SET       1.679       81.250
SET       1.679       82.500
SET       1.695       83.750
SET       1.703       85.000
SET       1.711       86.250
SET       1.719       87.500
SET       1.727       88.125
SET       1.735       88.750
SET       1.735       89.375
SET       1.743       90.000
SET       1.751       90.625
SET       1.759       91.250
SET       1.767       91.875
SET       1.775       92.500
SET       1.783       93.125
SET       1.791       93.750
SET       1.799       94.062
SET       1.807       94.375
SET       1.815       94.688
SET       1.815       95.000
SET       1.823       95.312
SET       1.831       95.625
SET       1.839       95.938
SET       1.847       96.250
SET       1.863       96.562
SET       1.879       96.875
SET       1.879       97.031
SET       1.887       97.188
SET       1.895       97.344
SET       1.911       97.500
SET       1.919       97.656
SET       1.935       97.812
SET       1.951       97.969
SET       1.975       98.125
SET       2.007       98.281
SET       2.063       98.438
SET       2.095       98.516
SET       2.127       98.594
SET       2.175       98.672
SET       2.207       98.750
SET       2.271       98.828
SET       2.335       98.906
SET       2.431       98.984
SET       2.543       99.062
SET       2.607       99.141
SET       2.671       99.219
SET       2.703       99.258
SET       2.751       99.297
SET       2.799       99.336
SET       2.847       99.375
SET       2.895       99.414
SET       2.943       99.453
SET       2.991       99.492
SET       3.039       99.531
SET       3.087       99.570
SET       3.151       99.609
SET       3.199       99.629
SET       3.231       99.648
SET       3.263       99.668
SET       3.295       99.688
SET       3.343       99.707
SET       3.391       99.727
SET       3.487       99.746
SET       3.583       99.766
SET       3.743       99.785
SET       3.967       99.805
SET       4.079       99.814
SET       4.191       99.824
SET       4.319       99.834
SET       4.447       99.844
SET       4.575       99.854
SET       4.703       99.863
SET       4.831       99.873
SET       4.959       99.883
SET       5.087       99.893
SET       5.215       99.902
SET       5.279       99.907
SET       5.343       99.912
SET       5.407       99.917
SET       5.471       99.922
SET       5.567       99.927
SET       5.631       99.932
SET       5.727       99.937
SET       5.823       99.941
SET       5.919       99.946
SET       6.015       99.951
SET       6.079       99.954
SET       6.143       99.956
SET       6.207       99.958
SET       6.271       99.961
SET       6.335       99.963
SET       6.367       99.966
SET       6.431       99.968
SET       6.495       99.971
SET       6.559       99.973
SET       6.655       99.976
SET       6.719       99.977
SET       6.815       99.978
SET       6.975       99.979
SET       7.103       99.980
SET       7.231       99.982
SET       7.423       99.983
SET       7.615       99.984
SET       7.839       99.985
SET       8.063       99.987
SET       8.319       99.988
SET       8.511       99.988
SET       8.639       99.989
SET       8.831       99.990
SET       8.959       99.990
SET       9.215       99.991
SET       9.343       99.991
SET       9.599       99.992
SET       9.855       99.993
SET      10.111       99.993
SET      10.367       99.994
SET      10.495       99.994
SET      10.559       99.995
SET      10.687       99.995
SET      10.751       99.995
SET      10.943       99.995
SET      11.007       99.996
SET      11.199       99.996
SET      11.199       99.996
SET      11.455       99.997
SET      11.519       99.997
SET      11.519       99.997
SET      11.519       99.997
SET      11.711       99.997
SET      11.711       99.998
SET      11.775       99.998
SET      11.775       99.998
SET      11.839       99.998
SET      11.903       99.998
SET      11.967       99.998
SET      12.031       99.998
SET      12.095       99.999
SET      12.095       99.999
SET      12.095       99.999
SET      12.159       99.999
SET      12.223       99.999
SET      12.223       99.999
SET      12.223       99.999
SET      12.223       99.999
SET      12.287       99.999
SET      12.351       99.999
SET      12.351       99.999
SET      12.351       99.999
SET      12.351       99.999
SET      12.351       99.999
SET      12.415       99.999
SET      12.415       99.999
SET      12.415      100.000
SET      12.415      100.000
SET      12.479      100.000
SET      12.479      100.000
SET      12.479      100.000
SET      12.479      100.000
SET      12.479      100.000
SET      12.479      100.000
SET      12.479      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.543      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      12.607      100.000
SET      13.311      100.000
SET      13.311      100.000
---
GET       0.063        0.000
GET       1.279        5.000
GET       1.303       10.000
GET       1.327       15.000
GET       1.343       20.000
GET       1.367       25.000
GET       1.391       30.000
GET       1.415       35.000
GET       1.439       40.000
GET       1.463       45.000
GET       1.487       50.000
GET       1.495       52.500
GET       1.511       55.000
GET       1.519       57.500
GET       1.535       60.000
GET       1.543       62.500
GET       1.551       65.000
GET       1.567       67.500
GET       1.575       70.000
GET       1.591       72.500
GET       1.599       75.000
GET       1.607       76.250
GET       1.615       77.500
GET       1.623       78.750
GET       1.631       80.000
GET       1.639       81.250
GET       1.647       82.500
GET       1.655       83.750
GET       1.663       85.000
GET       1.671       86.250
GET       1.679       87.500
GET       1.679       88.125
GET       1.687       88.750
GET       1.695       89.375
GET       1.695       90.000
GET       1.703       90.625
GET       1.711       91.250
GET       1.719       91.875
GET       1.727       92.500
GET       1.735       93.125
GET       1.743       93.750
GET       1.751       94.062
GET       1.751       94.375
GET       1.759       94.688
GET       1.759       95.000
GET       1.767       95.312
GET       1.775       95.625
GET       1.783       95.938
GET       1.783       96.250
GET       1.791       96.562
GET       1.799       96.875
GET       1.807       97.031
GET       1.815       97.188
GET       1.815       97.344
GET       1.823       97.500
GET       1.823       97.656
GET       1.831       97.812
GET       1.839       97.969
GET       1.847       98.125
GET       1.855       98.281
GET       1.871       98.438
GET       1.879       98.516
GET       1.879       98.594
GET       1.887       98.672
GET       1.895       98.750
GET       1.911       98.828
GET       1.919       98.906
GET       1.943       98.984
