12        Threads
50        Connections per thread
50        Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        23079.33          ---          ---         2.42575         2.39900         3.31100         4.63900         6.75100      1574.86 
Gets       230733.41        12.00    230721.41         2.35686         2.35100         2.71900         3.35900         5.88700      5833.49 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     253812.74        12.00    230721.41         2.36313         2.35100         2.76700         3.51900         6.01500      7408.35 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.159        0.000
SET       2.255        5.000
SET       2.287       10.000
SET       2.303       15.000
SET       2.319       20.000
SET       2.335       25.000
SET       2.351       30.000
SET       2.367       35.000
SET       2.367       40.000
SET       2.383       45.000
SET       2.399       50.000
SET       2.399       52.500
SET       2.415       55.000
SET       2.415       57.500
SET       2.431       60.000
SET       2.431       62.500
SET       2.447       65.000
SET       2.447       67.500
SET       2.463       70.000
SET       2.463       72.500
SET       2.479       75.000
SET       2.479       76.250
SET       2.479       77.500
SET       2.495       78.750
SET       2.495       80.000
SET       2.495       81.250
SET       2.511       82.500
SET       2.511       83.750
SET       2.511       85.000
SET       2.527       86.250
SET       2.527       87.500
SET       2.543       88.125
SET       2.543       88.750
SET       2.543       89.375
SET       2.559       90.000
SET       2.559       90.625
SET       2.559       91.250
SET       2.575       91.875
SET       2.575       92.500
SET       2.591       93.125
SET       2.591       93.750
SET       2.591       94.062
SET       2.607       94.375
SET       2.607       94.688
SET       2.607       95.000
SET       2.623       95.312
SET       2.623       95.625
SET       2.639       95.938
SET       2.639       96.250
SET       2.655       96.562
SET       2.671       96.875
SET       2.671       97.031
SET       2.687       97.188
SET       2.687       97.344
SET       2.703       97.500
SET       2.719       97.656
SET       2.735       97.812
SET       2.751       97.969
SET       2.783       98.125
SET       2.815       98.281
SET       2.863       98.438
SET       2.895       98.516
SET       2.927       98.594
SET       2.975       98.672
SET       3.039       98.750
SET       3.103       98.828
SET       3.183       98.906
SET       3.295       98.984
SET       3.423       99.062
SET       3.567       99.141
SET       3.743       99.219
SET       3.855       99.258
