12        Threads
50        Connections per thread
50        Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets       115373.57          ---          ---         0.47148         0.46300         0.71100         0.71900         0.84700      7874.15 
Gets      1153670.26       511.35   1153158.91         0.47207         0.46300         0.71100         0.71900         0.83100     29196.80 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals    1269043.83       511.35   1153158.91         0.47201         0.46300         0.71100         0.71900         0.83100     37070.95 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.159        0.000
SET       0.439        5.000
SET       0.439       10.000
SET       0.447       15.000
SET       0.447       20.000
SET       0.447       25.000
SET       0.455       30.000
SET       0.455       35.000
SET       0.455       40.000
SET       0.455       45.000
SET       0.463       50.000
SET       0.463       52.500
SET       0.463       55.000
SET       0.463       57.500
SET       0.463       60.000
SET       0.463       62.500
SET       0.463       65.000
SET       0.471       67.500
SET       0.471       70.000
SET       0.471       72.500
SET       0.471       75.000
SET       0.471       76.250
SET       0.471       77.500
SET       0.471       78.750
SET       0.479       80.000
SET       0.479       81.250
SET       0.479       82.500
SET       0.479       83.750
SET       0.479       85.000
SET       0.479       86.250
SET       0.479       87.500
SET       0.487       88.125
SET       0.487       88.750
SET       0.487       89.375
SET       0.487       90.000
SET       0.487       90.625
SET       0.487       91.250
SET       0.487       91.875
SET       0.495       92.500
SET       0.495       93.125
SET       0.503       93.750
SET       0.503       94.062
SET       0.503       94.375
SET       0.519       94.688
SET       0.575       95.000
SET       0.655       95.312
SET       0.671       95.625
SET       0.671       95.938
SET       0.679       96.250
SET       0.679       96.562
SET       0.687       96.875
SET       0.687       97.031
SET       0.687       97.188
SET       0.687       97.344
SET       0.695       97.500
SET       0.695       97.656
SET       0.695       97.812
SET       0.695       97.969
SET       0.695       98.125
SET       0.703       98.281
SET       0.703       98.438
SET       0.703       98.516
SET       0.703       98.594
SET       0.703       98.672
SET       0.703       98.750
SET       0.711       98.828
SET       0.711       98.906
SET       0.711       98.984
SET       0.711       99.062
SET       0.711       99.141
SET       0.711       99.219
SET       0.711       99.258
