4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets         4908.21          ---          ---         3.73999         2.73500        12.60700        12.86300        14.01500       334.98 
Gets        49080.33        42.86     49037.48         3.69931         2.71900        12.47900        12.73500        13.63100      1243.40 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      53988.54        42.86     49037.48         3.70301         2.71900        12.47900        12.73500        13.69500      1578.38 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.207        0.000
SET       2.527        5.000
SET       2.559       10.000
SET       2.591       15.000
SET       2.607       20.000
SET       2.623       25.000
SET       2.655       30.000
SET       2.671       35.000
SET       2.703       40.000
SET       2.719       45.000
SET       2.735       50.000
SET       2.751       52.500
SET       2.767       55.000
SET       2.783       57.500
SET       2.783       60.000
SET       2.799       62.500
SET       2.815       65.000
SET       2.815       67.500
SET       2.831       70.000
SET       2.847       72.500
SET       2.863       75.000
SET       2.863       76.250
SET       2.879       77.500
SET       2.895       78.750
SET       2.895       80.000
SET       2.911       81.250
SET       2.927       82.500
SET       2.943       83.750
SET       2.975       85.000
SET       3.071       86.250
SET       5.215       87.500
SET       5.407       88.125
SET       5.599       88.750
SET       6.047       89.375
SET      10.943       90.000
SET      11.199       90.625
SET      11.327       91.250
SET      11.455       91.875
SET      11.519       92.500
SET      11.647       93.125
SET      11.711       93.750
SET      11.775       94.062
SET      11.775       94.375
SET      11.839       94.688
SET      11.903       95.000
SET      11.903       95.312
SET      11.967       95.625
SET      11.967       95.938
SET      12.031       96.250
SET      12.095       96.562
SET      12.159       96.875
SET      12.159       97.031
SET      12.159       97.188
SET      12.223       97.344
SET      12.223       97.500
SET      12.287       97.656
SET      12.287       97.812
SET      12.287       97.969
SET      12.351       98.125
SET      12.415       98.281
SET      12.415       98.438
SET      12.415       98.516
SET      12.479       98.594
SET      12.479       98.672
SET      12.479       98.750
SET      12.543       98.828
SET      12.543       98.906
