4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets         9532.73          ---          ---         1.90648         1.16700         5.34300        82.94300        97.27900       650.60 
Gets        95325.62       149.25     95176.38         1.90596         1.16700         5.34300        82.94300        97.27900      2419.01 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     104858.36       149.25     95176.38         1.90601         1.16700         5.34300        82.94300        97.27900      3069.61 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.159        0.000
SET       1.095        5.000
SET       1.119       10.000
SET       1.127       15.000
SET       1.135       20.000
SET       1.143       25.000
SET       1.151       30.000
SET       1.151       35.000
SET       1.159       40.000
SET       1.159       45.000
SET       1.167       50.000
SET       1.167       52.500
SET       1.167       55.000
SET       1.175       57.500
SET       1.175       60.000
SET       1.175       62.500
SET       1.183       65.000
SET       1.183       67.500
SET       1.183       70.000
SET       1.191       72.500
SET       1.191       75.000
SET       1.199       76.250
SET       1.199       77.500
SET       1.199       78.750
SET       1.207       80.000
SET       1.207       81.250
SET       1.215       82.500
SET       1.223       83.750
SET       1.247       85.000
SET       1.303       86.250
SET       2.159       87.500
SET       2.223       88.125
SET       2.255       88.750
SET       2.271       89.375
SET       2.287       90.000
SET       2.287       90.625
SET       2.303       91.250
SET       2.319       91.875
SET       2.319       92.500
SET       2.335       93.125
SET       2.335       93.750
SET       2.335       94.062
SET       2.351       94.375
SET       2.351       94.688
SET       2.351       95.000
SET       2.367       95.312
SET       2.367       95.625
SET       2.383       95.938
SET       2.399       96.250
SET       2.463       96.562
SET       4.047       96.875
SET       4.127       97.031
SET       4.159       97.188
SET       4.159       97.344
SET       4.159       97.500
SET       4.159       97.656
SET       4.191       97.812
SET       4.191       97.969
SET       4.191       98.125
SET       4.223       98.281
SET       4.223       98.438
SET       4.255       98.516
SET       4.351       98.594
SET       5.119       98.672
SET       5.215       98.750
SET       5.279       98.828
SET       5.311       98.906
SET       5.343       98.984
SET       5.375       99.062
SET       5.407       99.141
SET       6.207       99.219
SET       7.135       99.258
SET       9.407       99.297
