4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets         8638.13          ---          ---         2.10970         1.33500        41.72700        44.03100        47.87100       589.54 
Gets        86379.61       130.72     86248.88         2.10300         1.32700        41.47100        43.77500        47.61500      2191.71 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      95017.74       130.72     86248.88         2.10361         1.32700        41.47100        43.77500        47.61500      2781.25 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.159        0.000
SET       1.255        5.000
SET       1.271       10.000
SET       1.287       15.000
SET       1.295       20.000
SET       1.303       25.000
SET       1.311       30.000
SET       1.319       35.000
SET       1.319       40.000
SET       1.327       45.000
SET       1.335       50.000
SET       1.335       52.500
SET       1.335       55.000
SET       1.343       57.500
SET       1.343       60.000
SET       1.343       62.500
SET       1.351       65.000
SET       1.351       67.500
SET       1.351       70.000
SET       1.359       72.500
SET       1.359       75.000
SET       1.367       76.250
SET       1.367       77.500
SET       1.367       78.750
SET       1.375       80.000
SET       1.375       81.250
SET       1.383       82.500
SET       1.383       83.750
SET       1.391       85.000
SET       1.399       86.250
SET       1.415       87.500
SET       1.423       88.125
SET       1.447       88.750
SET       1.503       89.375
SET       2.463       90.000
SET       2.543       90.625
SET       2.575       91.250
SET       2.591       91.875
SET       2.623       92.500
SET       2.639       93.125
SET       2.639       93.750
SET       2.655       94.062
SET       2.655       94.375
SET       2.671       94.688
SET       2.671       95.000
SET       2.687       95.312
SET       2.687       95.625
SET       2.703       95.938
SET       2.703       96.250
SET       2.719       96.562
SET       2.751       96.875
SET       2.767       97.031
SET       2.815       97.188
SET       3.695       97.344
SET       4.287       97.500
SET       4.351       97.656
SET       4.351       97.812
SET       4.383       97.969
SET       5.471       98.125
SET       6.559       98.281
SET      28.671       98.438
SET      33.791       98.516
SET      35.839       98.594
SET      37.631       98.672
SET      39.167       98.750
SET      40.447       98.828
SET      41.215       98.906
SET      41.471       98.984
SET      41.983       99.062
SET      42.239       99.141
SET      42.495       99.219
SET      42.751       99.258
SET      43.007       99.297
