12        Threads
50        Connections per thread
100       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets         7162.83          ---          ---         7.76714         7.67900        13.69500        15.16700        20.73500       488.76 
Gets        71599.73         3.65     71596.08         7.59970         7.51900        13.11900        14.97500        19.19900      1810.29 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      78762.56         3.65     71596.08         7.61492         7.55100        13.18300        14.97500        19.32700      2299.05 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.511        0.000
SET       7.135        5.000
SET       7.263       10.000
SET       7.359       15.000
SET       7.423       20.000
SET       7.455       25.000
SET       7.519       30.000
SET       7.551       35.000
SET       7.583       40.000
SET       7.647       45.000
SET       7.679       50.000
SET       7.711       52.500
SET       7.711       55.000
SET       7.743       57.500
SET       7.775       60.000
SET       7.775       62.500
SET       7.807       65.000
SET       7.839       67.500
SET       7.871       70.000
SET       7.871       72.500
SET       7.903       75.000
SET       7.935       76.250
SET       7.935       77.500
SET       7.967       78.750
SET       7.967       80.000
SET       7.999       81.250
SET       8.031       82.500
SET       8.031       83.750
SET       8.063       85.000
SET       8.095       86.250
SET       8.095       87.500
SET       8.127       88.125
SET       8.127       88.750
SET       8.159       89.375
SET       8.159       90.000
SET       8.191       90.625
SET       8.255       91.250
SET       8.255       91.875
SET       8.255       92.500
SET       8.319       93.125
SET       8.319       93.750
SET       8.383       94.062
SET       8.383       94.375
SET       8.383       94.688
SET       8.447       95.000
SET       8.447       95.312
SET       8.511       95.625
SET       8.511       95.938
SET       8.575       96.250
SET       8.639       96.562
SET       8.767       96.875
SET       8.831       97.031
SET       8.959       97.188
SET       9.087       97.344
SET       9.343       97.500
SET       9.599       97.656
SET       9.919       97.812
SET      10.303       97.969
SET      10.687       98.125
SET      11.135       98.281
SET      11.583       98.438
SET      11.839       98.516
SET      12.095       98.594
SET      12.415       98.672
SET      12.671       98.750
SET      12.991       98.828
SET      13.247       98.906
SET      13.631       98.984
SET      14.079       99.062
SET      14.527       99.141
SET      14.719       99.219
SET      14.783       99.258
SET      14.847       99.297
SET      14.911       99.336
SET      14.975       99.375
SET      15.039       99.414
SET      15.103       99.453
SET      15.167       99.492
SET      15.231       99.531
SET      15.295       99.570
SET      15.359       99.609
SET      15.423       99.629
SET      15.423       99.648
SET      15.487       99.668
SET      15.551       99.688
SET      15.551       99.707
SET      15.615       99.727
SET      15.743       99.746
SET      15.807       99.766
SET      15.935       99.785
SET      16.127       99.805
SET      16.319       99.814
SET      16.639       99.824
SET      17.023       99.834
SET      17.535       99.844
SET      17.919       99.854
SET      18.687       99.863
SET      19.199       99.873
SET      19.711       99.883
SET      20.223       99.893
SET      20.991       99.902
SET      21.375       99.907
SET      21.631       99.912
SET      21.887       99.917
SET      22.143       99.922
SET      22.399       99.927
SET      22.655       99.932
SET      22.911       99.937
SET      23.039       99.941
SET      23.295       99.946
SET      23.551       99.951
SET      23.679       99.954
SET      23.807       99.956
SET      24.063       99.958
SET      24.319       99.961
SET      24.703       99.963
SET      24.959       99.966
SET      25.215       99.968
SET      25.471       99.971
SET      25.727       99.973
SET      26.111       99.976
SET      26.367       99.977
SET      26.623       99.978
SET      26.751       99.979
SET      27.135       99.980
SET      27.263       99.982
SET      27.519       99.983
SET      27.775       99.984
SET      28.159       99.985
SET      28.543       99.987
SET      28.799       99.988
SET      28.927       99.988
SET      29.183       99.989
SET      29.567       99.990
SET      29.567       99.990
SET      29.823       99.991
SET      29.951       99.991
SET      30.847       99.992
SET      31.103       99.993
SET      31.487       99.993
SET      31.871       99.994
SET      31.999       99.994
SET      32.383       99.995
SET      32.383       99.995
SET      32.767       99.995
SET      33.023       99.995
SET      33.023       99.996
SET      33.279       99.996
SET      33.535       99.996
SET      33.791       99.997
SET      33.791       99.997
SET      33.791       99.997
SET      34.559       99.997
SET      34.559       99.997
SET      34.815       99.998
SET      34.815       99.998
SET      34.815       99.998
SET      34.815       99.998
SET      35.327       99.998
SET      37.631       99.998
SET      38.143       99.998
SET      38.143       99.999
SET      38.143       99.999
SET      38.143       99.999
SET      38.399       99.999
SET      38.399       99.999
SET      40.447       99.999
SET      40.447       99.999
SET      44.799       99.999
SET      44.799       99.999
SET      46.079       99.999
SET      46.079       99.999
SET      47.103       99.999
SET      47.103       99.999
SET      47.103       99.999
SET      47.103       99.999
SET      63.231       99.999
SET      63.231      100.000
SET      63.231      100.000
SET      63.231      100.000
SET      63.231      100.000
SET      63.231      100.000
SET      63.231      100.000
SET      63.231      100.000
SET      63.231      100.000
SET      63.231      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      63.487      100.000
SET      93.695      100.000
SET      93.695      100.000
---
GET       0.143        0.000
GET       6.975        5.000
GET       7.103       10.000
GET       7.199       15.000
GET       7.263       20.000
GET       7.327       25.000
GET       7.359       30.000
GET       7.391       35.000
GET       7.455       40.000
GET       7.487       45.000
GET       7.519       50.000
GET       7.551       52.500
GET       7.583       55.000
GET       7.583       57.500
GET       7.615       60.000
GET       7.647       62.500
GET       7.647       65.000
GET       7.679       67.500
GET       7.711       70.000
GET       7.743       72.500
GET       7.775       75.000
GET       7.775       76.250
GET       7.807       77.500
GET       7.807       78.750
GET       7.839       80.000
GET       7.839       81.250
GET       7.871       82.500
GET       7.871       83.750
GET       7.903       85.000
GET       7.935       86.250
GET       7.967       87.500
GET       7.967       88.125
GET       7.967       88.750
GET       7.999       89.375
GET       7.999       90.000
GET       8.031       90.625
GET       8.063       91.250
GET       8.063       91.875
GET       8.095       92.500
GET       8.127       93.125
GET       8.159       93.750
GET       8.159       94.062
GET       8.191       94.375
GET       8.191       94.688
GET       8.255       95.000
GET       8.255       95.312
GET       8.255       95.625
GET       8.319       95.938
GET       8.383       96.250
GET       8.383       96.562
GET       8.447       96.875
GET       8.511       97.031
GET       8.575       97.188
GET       8.639       97.344
GET       8.703       97.500
GET       8.895       97.656
GET       9.087       97.812
GET       9.407       97.969
GET       9.855       98.125
GET      10.303       98.281
GET      10.815       98.438
GET      11.071       98.516
GET      11.391       98.594
GET      11.711       98.672
GET      12.031       98.750
GET      12.351       98.828
GET      12.671       98.906
GET      13.055       98.984
GET      13.439       99.062
GET      13.951       99.141
GET      14.399       99.219
GET      14.527       99.258
GET      14.591       99.297
GET      14.655       99.336
GET      14.719       99.375
GET      14.847       99.414
GET      14.911       99.453
GET      14.911       99.492
GET      14.975       99.531
GET      15.039       99.570
GET      15.167       99.609
GET      15.167       99.629
GET      15.231       99.648
GET      15.231       99.668
GET      15.295       99.688
GET      15.359       99.707
GET      15.359       99.727
GET      15.423       99.746
GET      15.487       99.766
GET      15.551       99.785
GET      15.679       99.805
GET      15.743       99.814
GET      15.807       99.824
GET      15.935       99.834
GET      16.063       99.844
GET      16.255       99.854
GET      16.639       99.863
GET      17.151       99.873
GET      17.791       99.883
GET      18.687       99.893
GET      19.327       99.902
GET      19.711       99.907
GET      20.095       99.912
GET      20.479       99.917
GET      20.863       99.922
GET      21.375       99.927
GET      21.631       99.932
GET      22.015       99.937
GET      22.271       99.941
GET      22.655       99.946
GET      22.911       99.951
GET      23.039       99.954
GET      23.167       99.956
GET      23.295       99.958
GET      23.423       99.961
GET      23.679       99.963
GET      23.935       99.966
GET      24.191       99.968
GET      24.447       99.971
GET      24.831       99.973
GET      25.343       99.976
GET      25.471       99.977
GET      25.599       99.978
GET      25.983       99.979
GET      26.239       99.980
GET      26.495       99.982
GET      26.879       99.983
GET      27.263       99.984
GET      27.519       99.985
GET      27.903       99.987
GET      28.415       99.988
GET      28.543       99.988
GET      28.671       99.989
GET      28.927       99.990
GET      29.439       99.990
GET      29.951       99.991
GET      30.335       99.991
GET      30.719       99.992
GET      31.103       99.993
GET      31.359       99.993
GET      31.487       99.994
GET      31.615       99.994
GET      31.615       99.995
GET      31.743       99.995
GET      32.255       99.995
GET      32.511       99.995
GET      32.639       99.996
GET      32.767       99.996
GET      33.023       99.996
GET      33.023       99.997
GET      33.535       99.997
GET      33.791       99.997
GET      34.303       99.997
GET      34.559       99.997
GET      34.559       99.998
GET      34.815       99.998
GET      35.071       99.998
GET      37.631       99.998
GET      38.143       99.998
GET      38.143       99.998
GET      38.143       99.998
GET      38.399       99.999
GET      38.911       99.999
GET      39.167       99.999
GET      39.167       99.999
GET      39.167       99.999
GET      39.423       99.999
GET      39.423       99.999
GET      40.191       99.999
GET      40.191       99.999
GET      40.447       99.999
GET      40.703       99.999
GET      40.703       99.999
GET      40.703       99.999
GET      40.703       99.999
GET      46.847       99.999
GET      61.951       99.999
GET      61.951      100.000
GET      61.951      100.000
GET      62.207      100.000
GET      62.207      100.000
GET      62.207      100.000
GET      62.207      100.000
GET      62.207      100.000
GET      62.207      100.000
GET      62.207      100.000
GET      62.207      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.231      100.000
GET      63.487      100.000
GET      63.487      100.000
---
WAIT      0.000      100.000
