12        Threads
50        Connections per thread
100       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        18584.14          ---          ---         2.97075         2.83100         5.88700         7.23100        12.99100      1268.28 
Gets       185810.23        42.00    185768.23         2.93014         2.79900         5.82300         6.78300        12.28700      4699.95 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     204394.37        42.00    185768.23         2.93383         2.79900         5.82300         6.84700        12.35100      5968.24 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.343        0.000
SET       2.607        5.000
SET       2.671       10.000
SET       2.703       15.000
SET       2.735       20.000
SET       2.751       25.000
SET       2.767       30.000
SET       2.783       35.000
SET       2.799       40.000
SET       2.815       45.000
SET       2.831       50.000
SET       2.831       52.500
SET       2.847       55.000
SET       2.847       57.500
SET       2.863       60.000
SET       2.879       62.500
SET       2.879       65.000
SET       2.895       67.500
SET       2.895       70.000
SET       2.911       72.500
SET       2.927       75.000
SET       2.927       76.250
SET       2.943       77.500
SET       2.943       78.750
SET       2.959       80.000
SET       2.959       81.250
SET       2.975       82.500
SET       2.991       83.750
SET       2.991       85.000
SET       3.007       86.250
SET       3.023       87.500
SET       3.039       88.125
SET       3.039       88.750
SET       3.055       89.375
SET       3.055       90.000
SET       3.071       90.625
SET       3.087       91.250
SET       3.103       91.875
SET       3.119       92.500
SET       3.135       93.125
SET       3.167       93.750
SET       3.183       94.062
SET       3.215       94.375
SET       3.247       94.688
SET       3.359       95.000
SET       3.759       95.312
SET       4.703       95.625
SET       5.119       95.938
SET       5.311       96.250
SET       5.407       96.562
SET       5.471       96.875
SET       5.503       97.031
SET       5.503       97.188
SET       5.535       97.344
SET       5.567       97.500
SET       5.567       97.656
SET       5.599       97.812
SET       5.631       97.969
SET       5.663       98.125
SET       5.663       98.281
SET       5.695       98.438
SET       5.727       98.516
SET       5.727       98.594
SET       5.759       98.672
SET       5.791       98.750
SET       5.823       98.828
SET       5.855       98.906
SET       5.887       98.984
SET       5.919       99.062
SET       5.983       99.141
SET       6.015       99.219
SET       6.047       99.258
SET       6.111       99.297
SET       6.143       99.336
SET       6.239       99.375
SET       6.463       99.414
SET       6.783       99.453
SET       7.167       99.492
SET       7.551       99.531
SET       8.031       99.570
SET       8.447       99.609
SET       8.639       99.629
SET       8.831       99.648
SET       9.087       99.668
SET       9.279       99.688
SET       9.471       99.707
SET       9.727       99.727
SET       9.919       99.746
SET      10.175       99.766
SET      10.431       99.785
SET      10.687       99.805
SET      10.815       99.814
SET      11.007       99.824
SET      11.135       99.834
SET      11.327       99.844
SET      11.519       99.854
SET      11.775       99.863
SET      12.031       99.873
SET      12.351       99.883
SET      12.607       99.893
SET      13.119       99.902
SET      13.375       99.907
SET      13.759       99.912
SET      14.335       99.917
SET      14.783       99.922
SET      15.231       99.927
SET      15.615       99.932
SET      15.935       99.937
SET      16.511       99.941
SET      17.023       99.946
SET      17.407       99.951
SET      17.663       99.954
SET      17.791       99.956
SET      18.047       99.958
SET      18.175       99.961
SET      18.431       99.963
SET      18.687       99.966
SET      18.687       99.968
SET      18.815       99.971
SET      18.815       99.973
SET      18.943       99.976
SET      18.943       99.977
SET      18.943       99.978
SET      18.943       99.979
SET      19.071       99.980
SET      19.071       99.982
SET      19.199       99.983
SET      19.583       99.984
SET      20.095       99.985
SET      20.607       99.987
SET      20.863       99.988
SET      21.119       99.988
SET      21.247       99.989
SET      21.375       99.990
SET      21.631       99.990
SET      21.759       99.991
SET      22.015       99.991
SET      22.143       99.992
SET      22.655       99.993
SET      22.783       99.993
SET      22.911       99.994
SET      22.911       99.994
SET      22.911       99.995
SET      23.039       99.995
SET      23.167       99.995
SET      23.295       99.995
