12        Threads
50        Connections per thread
100       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        12243.41          ---          ---         4.53581         4.38300         8.95900        10.11100        16.38300       835.47 
Gets       122404.33         6.00    122398.33         4.44586         4.31900         8.83100         9.47100        14.91100      3094.72 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     134647.75         6.00    122398.33         4.45404         4.31900         8.83100         9.53500        15.10300      3930.18 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.375        0.000
SET       4.047        5.000
SET       4.127       10.000
SET       4.191       15.000
SET       4.223       20.000
SET       4.255       25.000
SET       4.287       30.000
SET       4.287       35.000
SET       4.319       40.000
SET       4.351       45.000
SET       4.383       50.000
SET       4.383       52.500
SET       4.415       55.000
SET       4.415       57.500
SET       4.415       60.000
SET       4.447       62.500
SET       4.447       65.000
SET       4.479       67.500
SET       4.479       70.000
SET       4.511       72.500
SET       4.511       75.000
SET       4.543       76.250
SET       4.543       77.500
SET       4.543       78.750
SET       4.575       80.000
SET       4.575       81.250
SET       4.575       82.500
SET       4.607       83.750
SET       4.607       85.000
SET       4.639       86.250
SET       4.639       87.500
SET       4.671       88.125
SET       4.671       88.750
SET       4.671       89.375
SET       4.703       90.000
SET       4.703       90.625
SET       4.735       91.250
SET       4.735       91.875
SET       4.767       92.500
SET       4.767       93.125
SET       4.831       93.750
SET       4.831       94.062
SET       4.863       94.375
SET       4.895       94.688
SET       4.959       95.000
SET       5.055       95.312
SET       5.279       95.625
SET       5.791       95.938
SET       6.623       96.250
SET       7.583       96.562
SET       8.095       96.875
SET       8.255       97.031
SET       8.319       97.188
SET       8.383       97.344
SET       8.447       97.500
SET       8.511       97.656
SET       8.511       97.812
SET       8.575       97.969
SET       8.639       98.125
SET       8.703       98.281
SET       8.767       98.438
SET       8.767       98.516
SET       8.767       98.594
SET       8.831       98.672
SET       8.831       98.750
SET       8.895       98.828
SET       8.959       98.906
SET       8.959       98.984
SET       9.023       99.062
SET       9.087       99.141
SET       9.151       99.219
SET       9.215       99.258
SET       9.215       99.297
SET       9.343       99.336
SET       9.407       99.375
SET       9.599       99.414
SET       9.791       99.453
SET      10.047       99.492
SET      10.303       99.531
SET      10.559       99.570
SET      10.943       99.609
SET      11.071       99.629
SET      11.263       99.648
SET      11.455       99.668
SET      11.647       99.688
SET      11.775       99.707
SET      11.967       99.727
SET      12.159       99.746
SET      12.351       99.766
SET      12.543       99.785
SET      12.799       99.805
SET      12.991       99.814
SET      13.247       99.824
SET      13.439       99.834
SET      13.759       99.844
SET      14.079       99.854
SET      14.463       99.863
SET      14.911       99.873
SET      15.423       99.883
SET      15.871       99.893
SET      16.511       99.902
SET      16.767       99.907
SET      17.023       99.912
SET      17.407       99.917
SET      17.663       99.922
SET      17.919       99.927
SET      18.175       99.932
SET      18.431       99.937
SET      18.815       99.941
SET      19.199       99.946
SET      19.711       99.951
SET      19.839       99.954
SET      20.095       99.956
SET      20.351       99.958
SET      20.735       99.961
SET      20.863       99.963
SET      21.247       99.966
SET      21.759       99.968
SET      22.143       99.971
SET      22.527       99.973
SET      22.783       99.976
SET      23.167       99.977
SET      23.295       99.978
SET      23.551       99.979
SET      23.807       99.980
SET      24.063       99.982
SET      24.191       99.983
SET      24.319       99.984
SET      24.703       99.985
SET      24.831       99.987
SET      25.215       99.988
SET      25.343       99.988
SET      25.471       99.989
SET      25.599       99.990
SET      25.727       99.990
SET      25.983       99.991
SET      26.111       99.991
SET      26.495       99.992
SET      27.007       99.993
SET      27.391       99.993
SET      27.775       99.994
SET      27.903       99.994
SET      28.031       99.995
SET      28.159       99.995
SET      28.415       99.995
SET      28.415       99.995
SET      28.671       99.996
SET      28.799       99.996
SET      29.311       99.996
SET      29.567       99.997
SET      29.823       99.997
SET      29.951       99.997
SET      29.951       99.997
SET      30.079       99.997
SET      30.207       99.998
SET      30.207       99.998
SET      30.207       99.998
SET      30.463       99.998
SET      30.719       99.998
SET      31.103       99.998
SET      31.359       99.998
SET      31.743       99.999
SET      31.871       99.999
SET      32.127       99.999
SET      32.127       99.999
SET      32.127       99.999
SET      32.383       99.999
SET      32.511       99.999
SET      32.511       99.999
SET      33.023       99.999
SET      33.791       99.999
SET      34.047       99.999
SET      34.047       99.999
SET      34.303       99.999
SET      34.303       99.999
SET      34.303       99.999
SET      34.303       99.999
SET      34.303      100.000
SET      34.815      100.000
SET      34.815      100.000
SET      35.583      100.000
SET      35.583      100.000
SET      35.583      100.000
SET      36.351      100.000
SET      36.351      100.000
SET      36.351      100.000
SET      36.351      100.000
SET      36.351      100.000
SET      36.863      100.000
SET      36.863      100.000
