12        Threads
50        Connections per thread
100       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        26567.01          ---          ---         2.05944         1.91100         3.02300         3.31100        10.30300      1813.12 
Gets       265640.08       111.83    265528.25         2.05652         1.91100         3.02300         3.27900        10.11100      6722.50 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     292207.09       111.83    265528.25         2.05679         1.91100         3.02300         3.27900        10.11100      8535.61 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.583        0.000
SET       1.807        5.000
SET       1.831       10.000
SET       1.847       15.000
SET       1.863       20.000
SET       1.871       25.000
SET       1.879       30.000
SET       1.887       35.000
SET       1.895       40.000
SET       1.903       45.000
SET       1.911       50.000
SET       1.911       52.500
SET       1.919       55.000
SET       1.927       57.500
SET       1.927       60.000
SET       1.935       62.500
SET       1.935       65.000
SET       1.943       67.500
SET       1.951       70.000
SET       1.959       72.500
SET       1.967       75.000
SET       1.975       76.250
SET       1.983       77.500
SET       1.983       78.750
SET       1.999       80.000
SET       2.007       81.250
SET       2.023       82.500
SET       2.063       83.750
SET       2.591       85.000
SET       2.735       86.250
SET       2.767       87.500
SET       2.783       88.125
SET       2.799       88.750
SET       2.799       89.375
SET       2.815       90.000
SET       2.831       90.625
SET       2.831       91.250
SET       2.847       91.875
SET       2.847       92.500
SET       2.863       93.125
SET       2.863       93.750
SET       2.863       94.062
SET       2.879       94.375
SET       2.879       94.688
SET       2.879       95.000
SET       2.895       95.312
SET       2.895       95.625
SET       2.895       95.938
SET       2.911       96.250
SET       2.911       96.562
SET       2.927       96.875
SET       2.927       97.031
SET       2.927       97.188
SET       2.927       97.344
SET       2.943       97.500
SET       2.943       97.656
SET       2.943       97.812
SET       2.959       97.969
SET       2.959       98.125
SET       2.959       98.281
SET       2.975       98.438
SET       2.975       98.516
SET       2.991       98.594
SET       2.991       98.672
SET       2.991       98.750
SET       3.007       98.828
SET       3.007       98.906
SET       3.023       98.984
SET       3.023       99.062
SET       3.039       99.141
SET       3.055       99.219
SET       3.071       99.258
SET       3.087       99.297
SET       3.103       99.336
SET       3.135       99.375
SET       3.167       99.414
SET       3.215       99.453
SET       3.295       99.492
SET       3.407       99.531
SET       3.519       99.570
SET       3.727       99.609
SET       3.967       99.629
SET       4.287       99.648
SET       4.703       99.668
SET       5.151       99.688
SET       5.599       99.707
SET       6.079       99.727
SET       6.559       99.746
SET       7.039       99.766
SET       7.519       99.785
SET       8.031       99.805
SET       8.255       99.814
SET       8.511       99.824
SET       8.767       99.834
SET       8.959       99.844
SET       9.215       99.854
SET       9.471       99.863
SET       9.663       99.873
SET       9.919       99.883
SET      10.111       99.893
SET      10.367       99.902
SET      10.495       99.907
SET      10.559       99.912
SET      10.623       99.917
SET      10.751       99.922
SET      10.815       99.927
SET      10.943       99.932
SET      11.007       99.937
SET      11.071       99.941
SET      11.199       99.946
SET      11.263       99.951
SET      11.327       99.954
SET      11.327       99.956
SET      11.391       99.958
SET      11.391       99.961
SET      11.455       99.963
SET      11.519       99.966
SET      11.519       99.968
SET      11.583       99.971
SET      11.583       99.973
SET      11.647       99.976
SET      11.711       99.977
SET      11.711       99.978
SET      11.711       99.979
SET      11.775       99.980
SET      11.775       99.982
SET      11.839       99.983
SET      11.903       99.984
SET      11.903       99.985
SET      11.967       99.987
SET      12.031       99.988
SET      12.031       99.988
SET      12.095       99.989
SET      12.095       99.990
SET      12.095       99.990
SET      12.159       99.991
SET      12.159       99.991
SET      12.223       99.992
SET      12.287       99.993
SET      12.351       99.993
SET      12.415       99.994
SET      12.415       99.994
SET      12.543       99.995
SET      12.543       99.995
SET      12.607       99.995
SET      12.671       99.995
SET      12.735       99.996
SET      12.735       99.996
SET      12.799       99.996
SET      12.991       99.997
SET      13.119       99.997
SET      13.119       99.997
SET      13.183       99.997
SET      13.247       99.997
SET      13.439       99.998
SET      13.439       99.998
