12        Threads
50        Connections per thread
100       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        26094.79          ---          ---         2.09866         1.72700         8.63900        17.66300        21.88700      1780.89 
Gets       260916.53        52.56    260863.97         2.08750         1.71900         8.44700        17.66300        21.88700      6599.35 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     287011.31        52.56    260863.97         2.08852         1.71900         8.51100        17.66300        21.88700      8380.24 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.263        0.000
SET       1.407        5.000
SET       1.495       10.000
SET       1.535       15.000
SET       1.567       20.000
SET       1.591       25.000
SET       1.615       30.000
SET       1.631       35.000
SET       1.663       40.000
SET       1.687       45.000
SET       1.727       50.000
SET       1.751       52.500
SET       1.783       55.000
SET       1.815       57.500
SET       1.847       60.000
SET       1.871       62.500
SET       1.887       65.000
SET       1.919       67.500
SET       1.959       70.000
SET       2.191       72.500
SET       2.335       75.000
SET       2.367       76.250
SET       2.399       77.500
SET       2.415       78.750
SET       2.447       80.000
SET       2.479       81.250
SET       2.511       82.500
SET       2.543       83.750
SET       2.591       85.000
SET       2.639       86.250
SET       2.703       87.500
SET       2.735       88.125
SET       2.767       88.750
SET       2.799       89.375
SET       2.831       90.000
SET       2.863       90.625
SET       2.895       91.250
SET       2.943       91.875
SET       2.991       92.500
SET       3.055       93.125
SET       3.087       93.750
SET       3.119       94.062
SET       3.135       94.375
SET       3.151       94.688
SET       3.167       95.000
SET       3.183       95.312
SET       3.199       95.625
SET       3.215       95.938
SET       3.247       96.250
SET       3.263       96.562
SET       3.295       96.875
SET       3.311       97.031
SET       3.327       97.188
SET       3.343       97.344
SET       3.375       97.500
SET       3.423       97.656
SET       3.487       97.812
SET       3.599       97.969
SET       3.775       98.125
SET       3.999       98.281
SET       4.415       98.438
SET       4.863       98.516
SET       5.119       98.594
SET       5.375       98.672
SET       5.887       98.750
SET       6.527       98.828
SET       7.455       98.906
SET       8.447       98.984
SET       9.535       99.062
SET      10.751       99.141
SET      12.287       99.219
SET      13.567       99.258
SET      14.527       99.297
SET      15.999       99.336
SET      17.279       99.375
SET      17.535       99.414
SET      17.535       99.453
SET      17.663       99.492
SET      17.663       99.531
SET      17.663       99.570
SET      17.663       99.609
SET      17.791       99.629
SET      17.791       99.648
SET      17.791       99.668
SET      17.791       99.688
SET      17.791       99.707
SET      17.919       99.727
SET      18.175       99.746
SET      18.431       99.766
SET      18.943       99.785
SET      19.071       99.805
SET      19.199       99.814
SET      19.199       99.824
SET      19.199       99.834
SET      19.199       99.844
SET      19.327       99.854
SET      19.327       99.863
SET      19.711       99.873
SET      21.247       99.883
SET      21.631       99.893
SET      22.143       99.902
SET      23.039       99.907
SET      23.551       99.912
SET      25.087       99.917
SET      25.471       99.922
SET      25.599       99.927
SET      25.599       99.932
SET      25.727       99.937
SET      25.727       99.941
SET      25.727       99.946
SET      25.727       99.951
SET      25.855       99.954
SET      25.855       99.956
SET      25.855       99.958
SET      26.111       99.961
SET      26.239       99.963
SET      26.495       99.966
SET      26.879       99.968
SET      27.135       99.971
SET      27.263       99.973
SET      27.263       99.976
SET      27.391       99.977
SET      27.519       99.978
SET      28.159       99.979
SET      29.055       99.980
SET      29.311       99.982
SET      29.567       99.983
SET      29.567       99.984
SET      29.695       99.985
SET      29.695       99.987
SET      29.823       99.988
SET      29.823       99.988
SET      29.951       99.989
SET      30.079       99.990
SET      30.207       99.990
SET      30.463       99.991
SET      30.847       99.991
SET      30.975       99.992
SET      31.231       99.993
SET      31.359       99.993
SET      32.383       99.994
SET      33.023       99.994
SET      33.279       99.995
SET      33.535       99.995
SET      33.791       99.995
SET      33.791       99.995
SET      33.791       99.996
SET      33.791       99.996
SET      34.047       99.996
SET      34.559       99.997
SET      34.815       99.997
SET      35.327       99.997
SET      35.327       99.997
SET      35.327       99.997
SET      35.327       99.998
SET      35.583       99.998
SET      36.095       99.998
SET      37.119       99.998
SET      37.631       99.998
SET      37.631       99.998
SET      37.887       99.998
SET      37.887       99.999
SET      38.143       99.999
SET      38.143       99.999
SET      39.423       99.999
SET      39.935       99.999
SET      40.447       99.999
SET      41.215       99.999
SET      41.727       99.999
SET      41.727       99.999
SET      41.983       99.999
SET      43.263       99.999
SET      45.567       99.999
SET      45.567       99.999
SET      45.567       99.999
SET      45.567       99.999
SET      45.567       99.999
SET      45.823      100.000
SET      45.823      100.000
SET      45.823      100.000
SET      45.823      100.000
SET      45.823      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.103      100.000
SET      47.359      100.000
SET      47.359      100.000
SET      47.359      100.000
SET      47.359      100.000
SET      47.359      100.000
SET      47.359      100.000
SET      47.359      100.000
SET      47.359      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.615      100.000
SET      47.871      100.000
SET      47.871      100.000
---
GET       0.199        0.000
GET       1.399        5.000
GET       1.487       10.000
GET       1.527       15.000
GET       1.559       20.000
GET       1.583       25.000
GET       1.607       30.000
GET       1.631       35.000
GET       1.655       40.000
GET       1.679       45.000
GET       1.719       50.000
GET       1.743       52.500
GET       1.775       55.000
GET       1.807       57.500
GET       1.839       60.000
GET       1.863       62.500
GET       1.887       65.000
GET       1.911       67.500
GET       1.951       70.000
GET       2.127       72.500
GET       2.303       75.000
GET       2.351       76.250
GET       2.383       77.500
GET       2.415       78.750
GET       2.447       80.000
GET       2.463       81.250
GET       2.495       82.500
GET       2.543       83.750
GET       2.575       85.000
GET       2.623       86.250
GET       2.703       87.500
GET       2.735       88.125
GET       2.767       88.750
GET       2.783       89.375
GET       2.815       90.000
GET       2.847       90.625
GET       2.879       91.250
GET       2.927       91.875
GET       2.975       92.500
GET       3.039       93.125
GET       3.087       93.750
GET       3.103       94.062
GET       3.119       94.375
GET       3.135       94.688
GET       3.167       95.000
GET       3.183       95.312
GET       3.199       95.625
GET       3.215       95.938
GET       3.231       96.250
GET       3.247       96.562
GET       3.279       96.875
GET       3.295       97.031
GET       3.311       97.188
GET       3.343       97.344
