4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets         2206.91          ---          ---         8.27029         6.81500        27.64700        32.51100        37.88700       150.62 
Gets        22067.53        11.52     22056.01         8.22975         6.78300        27.51900        32.25500        37.88700       558.59 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      24274.44        11.52     22056.01         8.23344         6.78300        27.51900        32.25500        37.88700       709.20 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.543        0.000
SET       2.447        5.000
SET       2.927       10.000
SET       3.423       15.000
SET       3.903       20.000
SET       4.351       25.000
SET       4.863       30.000
SET       5.279       35.000
SET       5.631       40.000
SET       6.175       45.000
SET       6.815       50.000
SET       7.103       52.500
SET       7.455       55.000
SET       7.839       57.500
SET       8.191       60.000
SET       8.575       62.500
SET       9.023       65.000
SET       9.471       67.500
SET       9.855       70.000
SET      10.431       72.500
SET      10.943       75.000
SET      11.199       76.250
SET      11.519       77.500
SET      11.775       78.750
SET      12.095       80.000
SET      12.415       81.250
SET      12.735       82.500
SET      13.119       83.750
SET      13.439       85.000
SET      13.823       86.250
SET      14.271       87.500
SET      14.463       88.125
SET      14.655       88.750
SET      14.911       89.375
SET      15.167       90.000
SET      15.423       90.625
SET      15.743       91.250
SET      16.063       91.875
SET      16.511       92.500
SET      16.895       93.125
SET      17.407       93.750
SET      17.663       94.062
SET      17.919       94.375
SET      18.175       94.688
SET      18.559       95.000
SET      18.943       95.312
SET      19.327       95.625
SET      19.711       95.938
SET      20.095       96.250
SET      20.479       96.562
SET      20.991       96.875
SET      21.247       97.031
SET      21.503       97.188
SET      21.759       97.344
SET      22.143       97.500
SET      22.527       97.656
SET      22.911       97.812
SET      23.423       97.969
SET      23.935       98.125
SET      24.447       98.281
SET      24.959       98.438
SET      25.343       98.516
SET      25.599       98.594
SET      25.855       98.672
SET      26.111       98.750
SET      26.495       98.828
SET      27.007       98.906
SET      27.519       98.984
SET      28.031       99.062
SET      28.671       99.141
SET      29.311       99.219
SET      29.695       99.258
SET      30.079       99.297
SET      30.591       99.336
SET      31.103       99.375
SET      31.487       99.414
SET      31.999       99.453
SET      32.383       99.492
SET      32.767       99.531
SET      33.023       99.570
SET      33.535       99.609
SET      33.535       99.629
SET      33.791       99.648
SET      34.047       99.668
SET      34.303       99.688
SET      34.559       99.707
SET      34.815       99.727
