4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets         2568.00          ---          ---         7.08389         6.68700        18.04700        20.09500        23.16700       175.26 
Gets        25678.27        18.63     25659.64         7.07549         6.68700        17.91900        19.96700        22.91100       650.30 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      28246.27        18.63     25659.64         7.07626         6.68700        17.91900        20.09500        23.03900       825.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.431        0.000
SET       2.319        5.000
SET       2.783       10.000
SET       3.183       15.000
SET       3.679       20.000
SET       4.159       25.000
SET       4.671       30.000
SET       5.151       35.000
SET       5.567       40.000
SET       6.143       45.000
SET       6.687       50.000
SET       6.943       52.500
SET       7.231       55.000
SET       7.487       57.500
SET       7.743       60.000
SET       7.935       62.500
SET       8.063       65.000
SET       8.127       67.500
SET       8.319       70.000
SET       8.639       72.500
SET       8.895       75.000
SET       9.087       76.250
SET       9.279       77.500
SET       9.535       78.750
SET       9.727       80.000
SET       9.983       81.250
SET      10.239       82.500
SET      10.559       83.750
SET      10.815       85.000
SET      11.135       86.250
SET      11.455       87.500
SET      11.647       88.125
SET      11.839       88.750
SET      12.031       89.375
SET      12.223       90.000
SET      12.479       90.625
SET      12.735       91.250
SET      12.927       91.875
SET      13.247       92.500
SET      13.567       93.125
SET      13.887       93.750
SET      14.079       94.062
SET      14.207       94.375
SET      14.399       94.688
SET      14.527       95.000
SET      14.655       95.312
SET      14.847       95.625
SET      14.975       95.938
SET      15.167       96.250
SET      15.295       96.562
SET      15.487       96.875
SET      15.551       97.031
SET      15.679       97.188
SET      15.743       97.344
SET      15.871       97.500
SET      15.935       97.656
SET      16.063       97.812
SET      16.191       97.969
SET      16.319       98.125
SET      16.511       98.281
SET      16.767       98.438
SET      16.767       98.516
SET      16.895       98.594
SET      17.151       98.672
SET      17.279       98.750
SET      17.535       98.828
SET      17.663       98.906
SET      17.919       98.984
SET      18.175       99.062
SET      18.431       99.141
SET      18.815       99.219
SET      18.943       99.258
